asset,type,classification,source,derivation,usage_location,alt_text,notes
ZEUS Favicon (attachment 142; supersedes deleted attachment 73),image,BRAND ASSET,"Old site's main logo file (read-only copy; see docs/DECISIONS.md, 2026-08-23 ""Logo rebuild"" entry)","SUPERSEDED 2026-08-23: attachment 73 was cropped from a source that turned out to have a construction-guide grid baked into its pixels (the owner's ""crooked"" logo report). Rebuilt from a cleaned source via morphological erosion+dilation (.localenv/brand-work/clean-logo2.php, make-favicon-clean.php) and re-imported as attachment 142; attachment 73 deleted and wp_options site_icon repointed",wp_options site_icon (browser tab icon; WP core generates its own 16/32/180/512 derivatives from this one attachment),ZEUS,"No EXIF/GPS present (synthetic crop, not a photo)"
logo-header.png / logo-header.webp,image,BRAND ASSET,"Old site's main logo file (read-only copy; see docs/DECISIONS.md, 2026-08-23 ""Logo rebuild"" entry)","SUPERSEDED 2026-08-23: original crop inherited the same construction-guide grid described above. Rebuilt via morphological opening (erode radius 3 then dilate, which removes anything thinner than the letter strokes) plus a connected-component filter to drop residual line fragments (.localenv/brand-work/clean-logo.php, clean-logo2.php, finalize-clean-assets.php); the ""Cabinets + Countertops"" subtitle was moved out of the raster image into real HTML text (theme/zeus/template-parts/header/site-header.php) since its thinner strokes were being damaged by the same erosion pass",Site header (theme/zeus/template-parts/header/site-header.php),ZEUS (subtitle text is now separate real HTML next to the image),"981x240px source (image now covers the ZEUS wordmark only, not the subtitle)"
logo-footer.png / logo-footer.webp,image,BRAND ASSET,"Old site's main logo file, recolored (read-only copy; see docs/DECISIONS.md)","SUPERSEDED 2026-08-23: rebuilt from the same cleaned wordmark as logo-header (see above), then navy pixels recolored to white via targeted pixel-sampling (gold pixels preserved -- they already pass contrast on navy)",Site footer (theme/zeus/template-parts/footer/site-footer.php),ZEUS (subtitle text is now separate real HTML next to the image),981x240px source
Custom Kitchen with Island Seating (attachment 74),photo,REAL COMPLETED PROJECT (photo-level; not attributed to a specific named/dated project -- see Portfolio note below),"Old site media library, wp-content/uploads/2024/08/photo_1_2024-09-30_20-53-13.jpg (read-only copy)","Re-encoded through PHP GD to strip EXIF/metadata, capped at 2400px max dimension, re-saved as kitchen-white-wood-island.jpg (.localenv/brand-work/process-real-photos.php), then imported to WP media library",Homepage hero (front-page.php),"Custom white kitchen with wood island and pendant lighting (as imported)","No EXIF/GPS present after re-encode. Confirmed genuinely real via manual review during old-site portfolio investigation; not linked to any specific project name/date since grouping could not be confirmed -- used generically, not as an attributed case study"
Custom White Kitchen Cabinetry (attachment 75),photo,REAL COMPLETED PROJECT (photo-level; not attributed to a specific named/dated project),"Old site media library, wp-content/uploads/2024/08/dsc_0324.jpg (read-only copy)","Re-encoded through PHP GD (strips EXIF), capped at 2400px, saved as kitchen-white-cabinetry.jpg, imported to WP media library","Kitchen Cabinets service page featured image / OG image (page ID 10); Kitchen Cabinets page 'Real ZEUS Kitchen Installations' section (RC4A)","Freshly installed white kitchen cabinetry with light quartz countertops","No EXIF/GPS present after re-encode. Used generically for the Kitchen Cabinets service page; not claimed as a specific attributed project"
Custom Bathroom Vanity (attachment 76),photo,REAL COMPLETED PROJECT (photo-level; not attributed to a specific named/dated project),"Old site media library, wp-content/uploads/2024/08/img_0386.jpg (read-only copy)","Re-encoded through PHP GD (strips EXIF), capped at 2400px, saved as bathroom-vanity-olive-gold.jpg, imported to WP media library","Bathroom Cabinets & Vanities service page featured image / OG image (page ID 11); 'A Real ZEUS Bathroom Installation' section (RC4B) -- the only independently-verified real bathroom photo in the media library, so shown as a single callout rather than a 3-photo grid","Custom olive-green double-sink bathroom vanity with gold fixtures","No EXIF/GPS present after re-encode. Used generically; not claimed as a specific attributed project"
Custom Gray Kitchen Cabinetry (attachment 77),photo,REAL COMPLETED PROJECT (photo-level; not attributed to a specific named/dated project),"Old site media library, wp-content/uploads/2024/08/photo_6_2024-09-14_23-49-24.jpg (read-only copy)","Re-encoded through PHP GD (strips EXIF), capped at 2400px, saved as kitchen-gray-cabinetry.jpg, imported to WP media library",About page featured image (page ID 21),"Custom gray kitchen cabinetry with tile backsplash","No EXIF/GPS present after re-encode. Deliberately NOT used on any cabinet-collection page (Brooklyn/Shaker/Oslo/Euro), since the photo cannot be confirmed to belong to a specific named collection or finish -- used only as generic company work on the About page"
"""Premier series"" / ""Builder series"" old-site portfolio gallery images (multiple)",photo,UNKNOWN / marketing composite (mixed),"Old site portfolio CPT, trashed posts (read-only inspection only)","Not migrated. Featured images for these groups were found to be marketing composites (door-swatch + branded text overlays, one stamped ""COMING SOON""); gallery contents mixed genuinely-real photos with candid people, protective-film-on-appliances shots, and images spanning multiple distinct rooms/dates under one gallery -- project-level grouping could not be confirmed",Not used anywhere,N/A,"See docs/DECISIONS.md for full investigation notes. No Portfolio entries (public or draft) were created from this material per the Phase 4 brief's explicit caution rule"
"Brooklyn Fawn Door Sample (attachment 97)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Homepage ""Why In-Stock Matters"" door strip","Brooklyn Fawn cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Gray Door Sample (attachment 98)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection finish swatch","Brooklyn Gray cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
